Rank,Word,Count
161,thanks,4050
162,long,4041
163,character,4027
164,peach,4024
165,leaves,3997
166,hints,3972
167,dank,3968
168,tongue,3937
169,funk,3922
170,drinkable,3918
171,yellow,3894
172,maybe,3867
173,earthy,3782
174,tap,3780
175,stouts,3772
176,d,3755
177,heat,3754
178,toffee,3752
179,vintage,3741
180,floral,3712
181,pale,3709
182,sure,3680
183,10,3632
184,tulip,3626
185,cocoa,3560
186,subtle,3557
187,beautiful,3548
188,easy,3539
189,coconut,3534
190,world,3527
191,bright,3509
192,come,3501
193,low,3428
194,dipa,3424
195,going,3413
196,expected,3379
197,aftertaste,3359
198,year,3336
199,cherry,3324
200,foam,3320
201,solid,3315
202,looks,3301
203,awesome,3294
204,oz,3281
205,warms,3278
206,follows,3262
207,red,3234
208,forward,3185
209,roast,3168
210,8,3103
211,lingering,3091
212,syrup,3087
213,doesn,3084
214,ale,3078
215,present,3057
216,profile,3054
217,makes,3047
218,wow,3013
219,opaque,3001
220,review,2994
221,old,2991
222,absolutely,2988
223,imperial,2986
224,finishes,2973
225,find,2924
226,clean,2913
227,crisp,2907
228,wonderful,2890
229,presence,2869
230,extremely,2863
231,milk,2854
232,cloudy,2818
233,f,2816
234,note,2814
235,years,2790
236,day,2785
237,green,2773
238,yeast,2771
239,nicely,2767
240,incredible,2755
241,probably,2742
242,tangerine,2741
243,looking,2734
244,thing,2696
245,clear,2685
246,tasting,2679
247,know,2663
248,bomb,2660
249,fairly,2649
250,mocha,2630
251,away,2618
252,want,2610
253,tons,2595
254,followed,2590
255,half,2590
256,11,2585
257,spice,2579
258,complexity,2578
259,hard,2577
260,colored,2566
261,piney,2545
262,ba,2537
263,heady,2528
264,similar,2514
265,perfectly,2500
266,enjoyed,2495
267,house,2489
268,ring,2475
269,amber,2474
270,class,2471
271,base,2459
272,bubbles,2451
273,lace,2441
274,brewery,2439
275,far,2419
276,malty,2402
277,double,2374
278,minimal,2354
279,tasty,2353
280,apricot,2348
281,tree,2343
282,glad,2341
283,ipas,2332
284,16,2323
285,it’s,2313
286,spicy,2305
287,incredibly,2295
288,bite,2285
289,honey,2285
290,l,2278
291,oily,2273
292,intense,2268
293,wood,2264
294,pitch,2255
295,gold,2241
296,drank,2223
297,tried,2222
298,different,2210
299,pepper,2206
300,experience,2200
301,level,2188
302,batch,2181
303,bottled,2181
304,enjoy,2173
305,blend,2170
306,decent,2169
307,lingers,2166
308,served,2165
309,roasty,2163
310,date,2161
311,getting,2157
312,new,2152
313,citra,2145
314,6,2143
315,carbonated,2137
316,burnt,2129
317,isn,2111
318,pleasant,2101
319,faint,2100
320,goes,2093
321,actually,2085
322,fades,2075
323,warming,2074
324,fluffy,2066
325,didn,2044
326,certainly,2042
327,cherries,2034
328,hot,2032
329,leaving,2025
330,fine,2018
331,toasted,2013
332,fudge,2012
333,finally,2002
334,licorice,1989
335,left,1987
336,version,1985
337,quality,1984
338,espresso,1957
339,burn,1957
340,resin,1955
341,raisins,1947
342,cream,1943
343,silky,1934
344,foamy,1933
345,viscous,1928
346,chewy,1927
347,tasted,1925
348,gets,1923
349,enjoyable,1912
350,outstanding,1912
351,citrusy,1895
352,coming,1890
353,stuff,1884
354,highly,1872
355,pint,1871
356,damn,1866
357,dissipates,1863
358,age,1859
359,herbal,1852
360,plenty,1842
361,overly,1842
362,2013,1840
363,wish,1839
364,syrupy,1829
365,bready,1825
366,slowly,1825
367,let,1824
368,real,1818
369,15,1808
370,warm,1796
371,truly,1796
372,2014,1796
373,ll,1780
374,cap,1779
375,apple,1777
376,refreshing,1761
377,somewhat,1759
378,hidden,1759
379,bread,1753
380,oil,1749
381,said,1748
382,point,1742
383,2012,1741
384,frothy,1735
385,inch,1722
386,melon,1708
387,near,1685
388,middle,1684
389,bottles,1682
390,14,1682
391,chili,1682
392,tartness,1675
393,regular,1674
394,thought,1670
395,kind,1666
396,raisin,1664
397,easily,1663
398,funky,1662
399,kbs,1655
400,fingers,1653
401,grassy,1653
402,julius,1650
403,papaya,1644
404,starts,1640
405,having,1639
406,bad,1637
407,lightly,1630
408,expect,1629
409,nearly,1628
410,13,1623
411,9,1619
412,aging,1611
413,dense,1607
414,night,1605
415,25,1598
416,noticeable,1592
417,murky,1581
418,haze,1576
419,resinous,1571
420,2015,1565
421,grass,1563
422,prefer,1561
423,peel,1561
424,close,1555
425,hit,1552
426,mix,1550
427,surprisingly,1545
428,zest,1539
429,wait,1528
430,background,1526
431,2016,1524
432,canned,1524
433,completely,1517
434,lighter,1507
435,release,1504
436,belgian,1502
437,whiskey,1485
438,found,1484
439,growler,1483
440,trade,1476
441,hits,1476
442,ripe,1474
443,–,1472
444,rind,1467
445,7,1465
446,second,1459
447,backbone,1456
448,acidity,1453
449,overpowering,1450
450,start,1435
451,jet,1429
452,raspberry,1428
453,bold,1424
454,trillium,1414
455,things,1404
456,unique,1396
457,dried,1393
458,lives,1382
459,especially,1382
460,sourness,1382
461,tobacco,1370
462,20,1367
463,rum,1362
464,trying,1361
465,liquid,1356
466,couple,1354
467,feels,1348
468,straight,1348
469,texture,1339
470,days,1335
471,peppers,1332
472,warmth,1331
473,times,1328
474,simply,1325
475,barrels,1325
476,edges,1323
477,interesting,1320
478,pliny,1315
479,able,1312
480,brings,1306
481,fan,1305
482,hands,1303
483,stone,1299
484,hill,1299
485,grape,1289
486,plum,1283
487,slick,1278
488,upfront,1274
489,2017,1271
490,impressive,1270
491,classic,1264
492,reminds,1262
493,2011,1256
494,expecting,1253
495,semi,1248
496,ago,1248
497,18,1241
498,pick,1237
499,figs,1236
500,price,1231
501,months,1229
502,straw,1228
503,candy,1226
504,sharp,1224
505,bcbs,1221
506,ruby,1215
507,given,1209
508,12oz,1208
509,drinks,1207
510,velvety,1206
511,acidic,1205
512,rating,1203
513,mind,1200
514,gives,1196
515,75,1193
516,loads,1190
517,coating,1189
518,scent,1189
519,17,1188
520,average,1187
521,need,1185
522,people,1182
523,believe,1181
524,coast,1180
525,buy,1179
526,cold,1177
527,coats,1177
528,massive,1174
529,overwhelming,1164
530,quad,1163
531,line,1159
532,special,1157
533,layer,1157
534,initial,1155
535,22,1148
536,carb,1146
537,breakfast,1146
538,depth,1137
539,came,1137
540,immediately,1132
541,char,1130
542,short,1129
543,draft,1127
544,opinion,1127
545,large,1126
546,topper,1124
547,wasn,1120
548,goodness,1116
549,brandy,1115
550,ton,1115
551,khaki,1114
552,drinkability,1108
553,lovely,1106
554,mixed,1104
555,19,1104
556,motor,1100
557,chance,1098
558,leather,1095
559,treat,1095
560,founders,1091
561,settles,1090
562,cloying,1083
563,sweeter,1079
564,happy,1077
565,takes,1077
566,hue,1075
567,king,1070
568,charred,1065
569,adds,1065
570,flavorful,1064
571,farmstead,1062
572,room,1058
573,smoke,1056
574,mellow,1051
575,edge,1050
576,typical,1049
577,prominent,1045
578,750ml,1034
579,consumed,1030
580,tiny,1029
581,oh,1028
582,pack,1028
583,despite,1027
584,oaky,1026
585,shared,1024
586,ml,1024
587,linger,1016
588,pure,1012
589,candied,1011
590,2018,1002
591,bubbly,1001
592,live,999
593,smelling,997
594,woody,993
595,making,993
596,west,989
597,exactly,988
598,available,987
599,fig,986
600,beans,985
601,oranges,985
602,cellar,983
603,offering,982
604,open,981
605,compared,980
606,wet,977
607,legs,963
608,sipper,963
609,decadent,963
610,standard,962
611,dated,962
612,punch,949
613,passion,946
614,share,939
615,booziness,937
616,moderately,935
617,picked,934
618,soon,930
619,mid,928
620,recommend,928
621,add,927
622,mosaic,921
623,face,918
624,opened,918
625,minutes,910
626,honestly,910
627,cake,909
628,type,909
629,flavour,907
630,guava,906
631,porter,903
632,cheers,902
633,phenomenal,902
634,week,897
635,grain,895
636,friend,894
637,work,891
638,non,891
639,reviewed,890
640,expectations,888
641,spices,887
642,grapes,886
643,pungent,884
644,dryness,883
645,i’ve,881
646,true,879
647,sticks,879
648,treehouse,879
649,dankness,877
650,aggressive,876
651,american,876
652,score,875
653,dominate,871
654,vinegar,871
655,i’m,870
656,dessert,870
657,single,868
658,case,867
659,plums,865
660,bar,865
661,robust,862
662,th,861
663,copper,859
664,kick,857
665,hay,850
666,hf,846
667,weeks,845
668,man,844
669,peaches,837
670,tell,836
671,layers,832
672,lime,828
673,lived,827
674,example,826
675,peppery,825
676,wild,821
677,plus,820
678,yes,819
679,tad,819
680,rated,818
681,teku,818
682,lasting,818
683,dipas,818
684,dates,816
685,spot,816
686,course,815
687,warmed,813
688,seek,812
689,crazy,810
690,16oz,808
691,bomber,807
692,marshmallow,803
693,leave,803
694,lambic,803
695,rest,802
696,100,801
697,pith,800
698,fizzy,797
699,exceptional,797
700,perfection,793
701,feeling,793
702,sugary,791
703,collar,791
704,pink,791
705,works,790
706,remember,789
707,higher,788
708,past,788
709,tones,786
710,smelled,785
711,impressed,785
712,musty,785
713,held,783
714,barely,781
715,film,781
716,initially,781
717,round,780
718,label,779
719,barnyard,777
720,nutty,776
721,characteristics,776
722,delicate,776
723,swallow,772
724,wouldn,771
725,list,769
726,fruitiness,765
727,took,758
728,disappointed,758
729,loved,758
730,reason,756
731,liked,755
732,place,755
733,guess,753
734,bean,752
735,original,750
736,cantillon,749
737,went,747
738,hell,746
739,pronounced,741
740,seen,739
741,felt,738
742,hope,738
743,notch,737
744,spotty,735
745,recedes,731
746,home,731
747,apa,730
748,combination,729
749,brewing,728
750,brewed,728
751,purchased,727
752,21,725
753,russian,723
754,beautifully,722
755,sediment,721
756,barleywine,721
757,surprised,720
758,brews,720
759,wonderfully,719
760,ne,719
761,dominant,714
762,reddish,711
763,fair,709
764,integrated,708
765,apparent,706
766,imagine,705
767,lucky,705
768,darker,704
769,sides,704
770,stronger,703
771,inviting,703
772,mildly,703
773,cut,701
774,oatmeal,701
775,throat,695
776,giving,695
777,raspberries,695
778,cans,695
779,thinner,694
780,crafted,693
781,bought,692
782,hopped,692
783,biscuit,692
784,thicker,691
785,lower,690
786,totally,689
787,surface,688
788,today,688
789,sips,685
790,wrong,684
791,fact,684
792,blended,682
793,ales,682
794,considering,681
795,wanted,679
796,earthiness,679
797,superb,679
798,gentle,678
799,friends,678
800,bittersweet,677
801,soapy,676
802,later,675
803,opens,671
804,2019,670
805,stand,670
806,sort,668
807,banana,668
808,subdued,667
809,earth,667
810,excited,663
811,temperature,662
812,local,660
813,county,660
814,fridge,659
815,sense,658
816,barley,655
817,reviews,654
818,0,654
819,pouring,653
820,relatively,653
821,pop,653
822,use,653
823,beige,652
824,vermont,651
825,describe,650
826,drying,648
827,thank,646
828,soaked,644
829,powerful,643
830,750,641
831,life,640
832,aromatic,640
833,passionfruit,640
834,doubt,637
835,dominated,636
836,2020,634
837,lactic,634
838,vinous,634
839,sunshine,633
840,elder,631
841,possibly,629
842,added,625
843,gorgeous,625
844,craft,624
845,qualities,623
846,dust,623
847,galaxy,623
848,keeps,621
849,prickly,620
850,amazingly,619
851,river,619
852,aspect,618
853,flat,617
854,resiny,615
855,brett,615
856,won,613
857,remains,613
858,shows,613
859,holy,611
860,wheat,611
861,worthy,610
862,quick,610
863,cbs,610
864,recommended,610
865,sipping,609
866,yeasty,609
867,impression,608
868,bring,608
869,zombie,608
870,lively,608
871,highlights,607
872,spiciness,606
873,extra,606
874,sours,606
875,sharing,605
876,absolute,601
877,mahogany,601
878,ounce,600
879,couldn,600
880,form,599
881,rounded,598
882,elements,598
883,says,597
884,stands,596
885,hold,596
886,seeking,596
887,water,596
888,sit,594
889,harsh,594
890,cola,593
891,saison,593
892,apricots,590
893,instead,589
894,sits,587
895,alchemist,586
896,covered,584
897,slow,581
898,shine,580
899,follow,579
900,pleasure,579
901,ok,578
902,pillowy,578
903,compare,575
904,st,575
905,possible,574
906,store,574
907,dominates,573
908,month,573
909,creaminess,572
910,dissipated,572
911,neipa,570
912,oats,570
913,based,569
914,distinct,569
915,trip,569
916,cracker,569
917,cacao,567
918,toasty,566
919,opportunity,565
920,thickness,564
921,haven,564
922,sitting,563
923,temp,562
924,filled,561
925,sue,561
926,muted,560
927,finishing,558
928,visible,558
929,usually,557
930,lasts,554
931,rochefort,554
932,brownie,552
933,etc,552
934,rye,551
935,entire,550
936,30,550
937,grains,549
938,evident,548
939,hoppiness,548
940,opening,546
941,offerings,545
942,split,543
943,taking,543
944,rate,542
945,wanting,542
946,blast,542
947,flavours,541
948,basically,540
949,addition,536
950,imo,536
951,heard,535
952,explosion,535
953,y,535
954,deserves,533
955,appreciate,533
956,needs,531
957,port,530
958,gone,529
959,obviously,529
960,stick,529
961,fast,527
962,chocolatey,527
963,england,527
964,favorites,525
965,faded,521
966,gave,520
967,bouquet,519
968,gueuze,519
969,tuesday,518
970,50,517
971,reminiscent,517
972,appears,516
973,tall,516
974,late,515
975,mean,515
976,brought,513
977,potent,512
978,tight,512
979,astringent,510
980,unlike,510
981,toast,509
982,picking,508
983,morning,507
984,disappoint,506
985,understand,506
986,colour,505
987,wave,504
988,stays,502
989,chalice,502
990,tangy,502
991,smoothness,501
992,onion,500
993,island,499
994,berries,498
995,burst,498
996,bottling,496
997,play,496
998,change,496
999,underneath,495
1000,simple,495
1001,surprising,493
1002,apples,492
1003,recently,491
1004,strength,489
1005,serving,488
1006,berry,487
1007,vibrant,487
1008,guys,486
1009,ris,486
1010,balances,485
1011,forms,485
1012,means,484
1013,pear,484
1014,nuts,483
1015,job,483
1016,ends,481
1017,powder,477
1018,holds,477
1019,amounts,477
1020,maltiness,477
1021,clarity,477
1022,don’t,476
1023,residual,475
1024,intensity,474
1025,dangerously,474
1026,reputation,474
1027,hours,472
1028,started,472
1029,2010,472
1030,anise,472
1031,viscosity,471
1032,zero,471
1033,smoky,471
1034,waves,471
1035,waiting,470
1036,definite,470
1037,guy,469
1038,there’s,469
1039,buds,469
1040,surprise,468
1041,whiff,467
1042,22oz,466
1043,lost,466
1044,sugars,465
1045,rare,465
1046,comparison,465
1047,seriously,465
1048,freshly,465
1049,luscious,463
1050,hoping,463
1051,undertones,463
1052,skin,463
1053,leads,461
1054,center,460
1055,dose,460
1056,blown,459
1057,raw,459
1058,help,457
1059,nibs,456
1060,bigger,456
1061,shot,455
1062,layered,455
1063,falls,454
1064,sauce,454
1065,recent,453
1066,alcoholic,453
1067,younger,453
1068,helps,452
1069,topped,452
1070,hyped,451
1071,blends,451
1072,puckering,451
1073,yeah,450
1074,clearly,449
1075,pithy,449
1076,effervescent,449
1077,parabola,449
1078,quads,449
1079,received,447
1080,turbid,447
1081,23,446
1082,milky,446
1083,finished,445
1084,delightful,444
1085,edit,444
1086,hazelnut,443
1087,lacking,443
1088,hues,443
1089,degrees,441
1090,adding,441
1091,packs,440
1092,future,440
1093,vt,439
1094,disappears,438
1095,particularly,438
1096,effervescence,438
1097,butter,437
1098,provides,437
1099,god,437
1100,difference,437
1101,prunes,436
1102,hand,436
1103,drinker,435
1104,w,434
1105,content,434
1106,category,433
1107,prairie,433
1108,hides,432
1109,usual,432
1110,notice,430
1111,goblet,430
1112,lactose,428
1113,grainy,428
1114,enjoying,428
1115,ratings,427
1116,purple,427
1117,unfortunately,427
1118,terms,427
1119,turns,427
1120,boy,426
1121,nectarine,426
1122,esters,425
1123,including,425
1124,underlying,423
1125,longer,421
1126,roastiness,420
1127,speak,418
1128,pleasantly,417
1129,lack,417
1130,bursting,417
1131,wax,415
1132,soy,415
1133,modest,415
1134,scents,414
1135,2021,414
1136,insane,413
1137,east,412
1138,cool,411
1139,24,411
1140,astringency,410
1141,atop,407
1142,swirl,407
1143,shines,406
1144,ones,406
1145,caramelized,405
1146,substantial,405
1147,winter,405
1148,iipa,404
1149,sample,403
1150,prune,403
1151,literally,403
1152,delight,402
1153,fully,402
1154,retains,402
1155,blueberry,402
1156,likely,401
1157,bringing,401
1158,unfiltered,401
1159,tg,400
1160,minute,400
1161,saying,400
1162,99,400
1163,number,399
1164,difficult,399
1165,flavored,398
1166,spectacular,398
1167,summer,397
1168,cheese,396
1169,minor,395
1170,dinner,394
1171,run,394
1172,beginning,393
1173,smoother,391
1174,bba,391
1175,sensation,391
1176,experienced,390
1177,acid,390
1178,sized,387
1179,generous,387
1180,blind,387
1181,bubble,383
1182,translucent,383
1183,set,382
1184,forever,382
1185,aspects,381
1186,eventually,381
1187,reviewing,380
1188,winner,380
1189,appropriate,379
1190,clove,379
1191,tannic,379
1192,lemony,379
1193,biscuity,379
1194,ice,378
1195,restrained,378
1196,firestone,378
1197,de,377
1198,levels,377
1199,slightest,377
1200,yields,377
1201,liquor,377
1202,lips,376
1203,triple,376
1204,wife,375
1205,check,373
1206,delivers,373
1207,previous,373
1208,provide,372
1209,personally,372
1210,mf,372
1211,prevalent,371
1212,begins,370
1213,insanely,370
1214,goose,370
1215,rings,370
1216,rim,369
1217,zesty,369
1218,westy,368
1219,area,368
1220,series,368
1221,buttery,367
1222,09,367
1223,heavily,367
1224,lush,367
1225,kinda,366
1226,tannins,366
1227,moment,366
1228,putting,366
1229,juiciness,365
1230,chilies,364
1231,heaven,363
1232,consistency,363
1233,brilliant,363
1234,bernardus,363
1235,following,362
1236,sherry,362
1237,flesh,362
1238,update,362
1239,richness,361
1240,lawson,361
1241,26,361
1242,belgium,360
1243,adjuncts,360
1244,smokey,360
1245,lord,360
1246,hardly,359
1247,knock,357
1248,general,357
1249,darkness,357
1250,citric,357
1251,toppling,356
1252,par,356
1253,limited,356
1254,inky,355
1255,early,354
1256,reduces,353
1257,word,353
1258,easier,352
1259,weight,352
1260,blanket,352
1261,obvious,352
1262,fall,352
1263,ample,351
1264,unbelievable,350
1265,2022,350
1266,heavier,350
1267,stemmed,350
1268,fuller,348
1269,overrated,347
1270,29,347
1271,champagne,347
1272,ways,346
1273,session,346
1274,refined,346
1275,08,345
1276,edition,345
1277,detect,345
1278,goliath,344
1279,continues,344
1280,order,344
1281,doesn’t,344
1282,28,344
1283,satisfying,344
1284,cantaloupe,344
1285,floating,343
1286,looked,343
1287,element,342
1288,shit,341
1289,closer,341
1290,overripe,341
1291,mainly,340
1292,noticed,340
1293,froth,340
1294,backend,339
1295,trace,339
1296,crack,338
1297,batter,338
1298,alongside,338
1299,variant,338
1300,hour,338
1301,brownish,337
1302,consistent,336
1303,terrific,336
1304,taken,336
1305,showing,336
1306,bakers,335
1307,packed,335
1308,disappointing,335
1309,cup,334
1310,courtesy,333
1311,sampled,333
1312,deal,333
1313,chile,333
1314,peanut,331
1315,market,330
1316,personal,330
1317,abyss,330
1318,bubblegum,330
1319,that’s,329
1320,normal,329
1321,floyds,329
1322,balancing,328
1323,can’t,328
1324,bruery,328
1325,weed,328
1326,significant,327
1327,party,327
1328,n,326
1329,assertive,326
1330,nectar,325
1331,money,325
1332,masked,325
1333,exceptionally,325
1334,multiple,324
1335,b,323
1336,turn,322
1337,complete,322
1338,butterscotch,321
1339,known,321
1340,watery,321
1341,kept,320
1342,equally,320
1343,carries,320
1344,bone,320
1345,detectable,319
1346,noted,319
1347,wonder,319
1348,cork,319
1349,offers,318
1350,christmas,318
1351,ddh,318
1352,nelson,318
1353,doughy,317
1354,chilled,317
1355,jam,317
1356,filling,316
1357,nonetheless,316
1358,bacon,316
1359,strawberry,315
1360,loaded,315
1361,firm,314
1362,fade,314
1363,tingle,314
1364,focal,314
1365,idea,312
1366,375ml,312
1367,hazed,312
1368,ive,311
1369,breweries,311
1370,tough,311
1371,rocky,311
1372,words,311
1373,remarkable,310
1374,glowing,310
1375,brother,309
1376,02,309
1377,27,308
1378,effort,308
1379,fun,307
1380,shelf,307
1381,intensely,306
1382,released,306
1383,particular,305
1384,missing,305
1385,grab,304
1386,ridiculous,303
1387,dont,303
1388,component,303
1389,rising,303
1390,extreme,302
1391,finest,302
1392,buddy,301
1393,fresher,301
1394,compliment,300
1395,offer,300
1396,stop,299
1397,dirty,299
1398,abrasive,299
1399,read,298
1400,ages,298
1401,bunch,298
1402,cracked,298
1403,mentioned,298
1404,tinge,297
1405,certain,297
1406,matches,297
1407,aren,297
1408,bill,297
1409,expensive,296
1410,milkshake,296
1411,duvel,295
1412,city,295
1413,cost,294
1414,inside,294
1415,awhile,294
1416,size,294
1417,ground,294
1418,crown,294
1419,—,294
1420,abbey,294
1421,01,293
1422,palette,293
1423,fudgy,292
1424,stellar,292
1425,whatsoever,292
1426,matter,292
1427,strongly,292
1428,appealing,292
1429,superior,291
1430,anniversary,291
1431,biggest,290
1432,sets,290
1433,tea,290
1434,lead,290
1435,english,290
1436,tangerines,290
1437,hoped,289
1438,changed,289
1439,tier,289
1440,knew,288
1441,savory,288
1442,mexican,287
1443,combo,287
1444,ish,287
1445,drive,286
1446,plays,286
1447,create,286
1448,effect,285
1449,thinking,285
1450,begin,285
1451,art,285
1452,reminded,285
1453,sap,285
1454,tremendous,284
1455,abraxas,284
1456,spots,284
1457,mint,284
1458,weekend,283
1459,funkiness,283
1460,care,282
1461,ridiculously,282
1462,description,282
1463,oils,282
1464,lemons,282
1465,crystal,282
1466,nature,281
1467,beast,281
1468,apart,281
1469,vintages,280
1470,total,280
1471,stickiness,279
1472,surly,279
1473,biting,279
1474,fruited,279
1475,star,278
1476,savor,278
1477,glasses,278
1478,weird,278
1479,jammy,278
1480,pulp,278
1481,main,277
1482,coated,277
1483,variants,277
1484,herbs,277
1485,westvleteren,277
1486,lacks,276
1487,continue,276
1488,power,276
1489,chalky,276
1490,creamsicle,276
1491,characteristic,275
1492,touches,275
1493,vegetal,275
1494,accompanied,274
1495,additional,274
1496,preferred,274
1497,beauty,273
1498,pass,273
1499,parts,273
1500,clings,273
1501,lets,273
1502,spiced,273
1503,produced,273
1504,dough,272
1505,builds,272
1506,gotten,272
1507,final,272
1508,3f,271
1509,2009,271
1510,acquired,270
1511,drop,270
1512,quarter,270
1513,midnight,270
1514,honest,270
1515,gem,270
1516,coat,269
1517,anticipated,269
1518,velvet,268
1519,pleasing,268
1520,range,268
1521,masterpiece,268
1522,suggest,268
1523,hunahpu,268
1524,im,268
1525,tingly,268
1526,03,268
1527,food,268
1528,brewers,268
1529,points,267
1530,nuttiness,266
1531,beat,266
1532,freshness,266
1533,currants,266
1534,regardless,265
1535,hefty,265
1536,overbearing,265
1537,company,264
1538,traditional,264
1539,07,264
1540,epic,263
1541,seconds,263
1542,500ml,263
1543,acetic,263
1544,signature,262
1545,aside,262
1546,dissipating,262
1547,fading,262
1548,stunning,262
1549,cigar,262
1550,mineral,262
1551,outside,261
1552,cant,261
1553,odd,261
1554,readily,261
1555,detected,261
1556,beverage,261
1557,alter,261
1558,leading,260
1559,smokiness,260
1560,waited,260
1561,walker,260
1562,variety,260
1563,persistent,260
1564,hopping,260
1565,combined,259
1566,advertised,259
1567,pub,259
1568,letting,259
1569,ingredients,259
1570,allows,258
1571,rr,258
1572,unreal,257
1573,05,257
1574,reveals,257
1575,mixture,257
1576,starting,257
1577,lover,256
1578,tonight,256
1579,okay,256
1580,pinot,256
1581,entirely,255
1582,ethanol,255
1583,leafy,255
1584,older,254
1585,ego,254
1586,didn’t,253
1587,revisit,253
1588,weak,253
1589,04,253
1590,executed,253
1591,reserve,253
1592,bits,253
1593,trappist,253
1594,needed,252
1595,cognac,252
1596,decided,252
1597,taster,251
1598,vs,251
1599,kicks,251
1600,warmer,250
1601,batches,250
1602,blowing,250
1603,pie,249
1604,tend,249
1605,dominating,249
1606,consider,249
1607,generally,249
1608,harmony,248
1609,nuanced,248
1610,providing,248
1611,mellowed,248
1612,06,248
1613,hangs,247
1614,purchase,247
1615,hate,246
1616,match,246
1617,told,246
1618,young,246
1619,crushable,246
1620,adjunct,245
1621,fills,245
1622,carmel,244
1623,monster,244
1624,showcase,244
1625,healthy,244
1626,laces,243
1627,suit,242
1628,paired,242
1629,ma,242
1630,san,242
1631,noir,242
1632,event,241
1633,changes,241
1634,chocolates,241
1635,baby,241
1636,ending,241
1637,isn’t,240
1638,major,240
1639,birthday,240
1640,hearty,240
1641,wise,240
1642,fff,240
1643,pay,239
1644,aromatics,239
1645,turned,238
1646,project,238
1647,ancho,238
1648,bat,238
1649,wide,238
1650,met,237
1651,forefront,236
1652,fortunate,236
1653,proper,236
1654,250,236
1655,whale,235
1656,dream,235
1657,chocolaty,235
1658,chiles,235
1659,attention,234
1660,killer,234
1661,drops,234
1662,glorious,234
1663,fw,234
1664,floaties,234
1665,instantly,233
1666,horse,233
1667,i’d,233
1668,develops,232
1669,trading,232
1670,complaint,232
1671,hopefully,232
1672,kiwi,232
1673,flowers,232
1674,pulpy,232
1675,legendary,231
1676,swirling,231
1677,abt,231
1678,mandarin,231
1679,unbelievably,230
1680,described,229
1681,prior,229
1682,pallet,229
1683,huna,229
1684,game,229
1685,ask,229
1686,highest,228
1687,fill,228
1688,stuck,228
1689,meld,228
1690,squeezed,228
1691,admit,228
1692,crackery,228
1693,senses,227
1694,natural,227
1695,2nd,227
1696,closely,227
1697,holding,227
1698,remarkably,227
1699,allowed,226
1700,shop,226
1701,moves,226
1702,yesterday,226
1703,canning,226
1704,blew,225
1705,brewer,225
1706,characters,225
1707,fl,225
1708,resins,225
1709,miss,224
1710,mark,224
1711,occasion,224
1712,settled,224
1713,popped,224
1714,pops,224
1715,thoroughly,224
1716,liking,224
1717,keeping,223
